COUNTY,Main ID,area,lon,lat,pwcr_per_day,PD_E,pv_kw,Annual_elec_demand,total_supplied,utilisation_1,utilisation_2,cost,tier3_hh
Marsabit,694,10000,37.49677744,2.841975235,67078.92379095982,5.363586200382591,10.459839765199764,3190.8016828255954,0.0,17.28510844696753,17.28510844696753,5948.2170962242935,0.0
Marsabit,695,10000,37.49677744,2.939037435,67360.98499443119,5.384915867344682,10.484181239732662,3423.0163258409702,0.0,18.59043308549238,18.59043308549238,5971.871696885252,0.0
Marsabit,696,10000,37.49677744,3.036099635,67992.27113150367,5.432644938592527,10.416355917707076,3627.1369568585897,95.45126406250002,19.691583754276678,20.209784909373447,6024.803236899113,0.0
Marsabit,697,10000,37.49677744,3.133161835,69755.59340407906,5.5658965366069015,10.418562283672195,3754.2341246625892,217.23390908375,20.076249470877872,21.23793571832024,6172.579259097054,1.0
Marsabit,698,10000,37.49677744,2.453726435,66464.82701027657,2.7050238900304553,5.140547505274264,1252.8001966465908,95.45126406250002,13.953761292980355,15.016903011353731,2999.871494043775,0.0
Marsabit,699,10000,37.49677744,2.550788635,65466.64392634715,2.666564112966206,5.135423621055368,1267.8114055608867,95.45126406250002,14.220814486910568,15.291474297052762,2957.2196012795225,0.0
Marsabit,700,10000,37.49677744,2.647850835,67075.08727231988,2.728529023539151,5.3764179752645,1341.094925639291,95.45126406250002,14.522324895425369,15.555938729833018,3025.9386871049187,0.0
Marsabit,701,10000,37.49677744,2.744913035,66710.03262749052,2.714469098223475,5.308966081396439,1514.4929790740212,95.45126406250002,16.23357914386542,17.25670415728607,3010.3462299298335,0.0
Marsabit,702,10000,37.49677744,3.618472835,61423.399596910065,4.935346111927601,10.242495411898874,3172.8303229318617,0.0,18.184735744161955,18.184735744161955,5473.29883812771,0.0
Marsabit,703,10000,37.49677744,3.715535035,61768.4595366891,4.961506501502372,10.138235801440043,3242.9637213572446,528.1636568874999,18.621493117376133,21.65427323662537,5502.310710166131,1.0
Marsabit,704,10000,37.49677744,3.812597235,61541.45962173333,4.944297212064678,9.889559535256003,3041.4695254215367,2205.497753900744,17.778443456557554,30.670342186285797,5483.225608179729,6.0
Marsabit,705,10000,37.49677744,3.909659435,59984.671093127756,4.826222547537667,9.423152206452853,2811.297288156581,204.82250054875004,17.068420035035345,18.311972784408468,5352.280805219273,1.0
Marsabit,706,10000,37.49677744,3.230224035,70176.86890067512,5.597717533301102,10.348591259492773,3755.5814516335913,590.062359825,20.020861897979927,23.1664618987771,6207.868744430923,2.0
Marsabit,707,10000,37.49677744,3.327286235,69397.00049133634,5.538806003864412,10.263456750883881,3618.0381076651715,804.5177848837501,19.4760389123019,23.80678922995027,6142.535858285633,2.0
Marsabit,708,10000,37.49677744,3.424348435,66647.7552098069,5.330975955494572,10.157403953277061,3417.840302220083,1202.1711877284374,19.016433012367713,25.70516210424097,5912.05233464348,3.0
Marsabit,709,10000,37.49677744,3.521410635,63356.268504385545,5.081829173577079,10.211255761625228,3148.9978477891273,689.3278018478733,17.98078043590014,21.916842780969834,5635.74855349698,2.0
Isiolo,710,10000,37.41271911,0.463951335,24861.8391430654,0.18116991501721785,0.3469516539129958,43.48077960413229,509.3246457537198,6.920128838234239,87.98105279574276,200.9174357540946,1.0
Samburu,713,10000,37.41271911,0.755137935,31104.407265293266,0.6859626749538511,1.2975093058950864,218.3040126863588,550.3803999579421,9.171301210131592,32.29366330532179,760.7326065238209,2.0
Isiolo,717,10000,37.41271911,0.366889135,15030.860266766835,0.11381691463009495,0.2195034859901602,27.31605951122279,279.75101455503057,7.012591052644283,78.83039701513209,126.2229583247753,1.0
Samburu,720,10000,37.41271911,1.434573335,45029.280456826935,0.9688551117693621,1.9931965267012255,371.2935703877278,345.74692251334744,10.986645392647771,21.217360751620138,1074.4603189522227,1.0
Samburu,721,10000,37.41271911,1.531635535,50245.89395688688,1.074008584877223,2.120315384717703,438.44091317465495,368.2247639833698,11.90068582733177,21.89548124521248,1191.0755206288402,1.0
Marsabit,726,10000,37.41271911,2.016946535,57416.54906573228,1.2180052628055764,2.239852823231384,481.8340520223816,3718.048366601918,11.47256051468721,100.0,1350.7678364513843,10.0
Marsabit,727,10000,37.41271911,2.114008735,63100.718715422016,2.575338140124779,4.723930146605204,1044.6945482001008,138.00182809125,11.846963831301846,13.411921424760468,2856.0499973983797,0.0
Marsabit,728,10000,37.41271911,2.211070935,64113.72486167957,2.614409715787834,4.785944253101888,1116.087216883769,95.45126406250002,12.640911030545636,13.722001216432815,2899.380374808708,0.0
Marsabit,729,10000,37.41271911,2.308133135,66762.62502073767,2.7164948054221156,5.0067842280108135,1282.0766732358636,95.45126406250002,14.14078387733507,15.19357246954896,3012.592739213126,0.0
Marsabit,733,10000,37.41271911,1.919884335,57239.23947791899,1.2144514032913032,2.26302574310186,489.9591845826248,155.34225292750003,11.647450638945042,15.340291349048012,1346.8266062500552,0.0
Marsabit,734,10000,37.41271911,2.793444135,64572.66164025532,2.6321050106943122,5.155619755232009,1408.7187649654377,95.45126406250002,15.55820327156995,16.612388255645968,2919.0044568599924,0.0
Marsabit,735,10000,37.41271911,2.890506335,65611.31603239814,2.6721393231388477,5.175557572000734,1472.6561573186316,0.0,16.053093891705142,16.053093891705142,2963.402509360982,0.0
Marsabit,736,10000,37.41271911,2.987568535,69346.63547003723,2.8159690394223427,5.418514770498672,1704.4934628784265,0.0,17.687464732690213,17.687464732690213,3122.909664719378,0.0
Marsabit,737,10000,37.41271911,3.084630735,69615.27653198951,5.5552965197395885,10.634797841186138,3659.4437659558753,10758.80534349821,19.306704310873293,76.06862956234828,6160.823840391204,29.0
Marsabit,738,10000,37.41271911,2.405195335,66192.47523045957,2.694531869578208,5.023774913019001,1235.233189190072,95.45126406250002,13.804373944372358,14.871091511640566,2988.235843362233,0.0
Marsabit,739,10000,37.41271911,2.502257535,65478.532296341626,2.6670222667450294,5.056233212582151,1203.9361510517256,95.45126406250002,13.572747711022513,14.648831292935688,2957.7276938202376,0.0
Marsabit,740,10000,37.41271911,2.599319735,65119.198117776206,2.6531732044360234,5.118547539467429,1254.5753844311507,95.45126406250002,14.13977304760156,15.215562695397335,2942.36908371955,0.0
Marsabit,741,10000,37.41271911,2.696381935,65860.94288620182,2.681758339689041,5.264370077778734,1327.1209768543456,95.45126406250002,14.593622572460811,15.643247848593644,2974.0699987151465,0.0
Kajiado,743,10000,37.41271911,-2.544976865,28752.611443945945,1.2353393248754885,3.0865003370932307,712.7335864696603,497.35487835267986,14.167293826272607,24.05341794237307,1369.9913112869167,1.0
Kajiado,744,10000,37.41271911,-2.447914665,31846.346138119643,1.357758168600463,3.466093988684331,784.7666904187545,435.76911204926796,14.080532929016888,21.899240586427844,1505.7538089779134,1.0
Kajiado,745,10000,37.41271911,-2.350852465,32088.059764836238,1.3673019032310092,3.5059756630354664,770.6045620257897,813.0983563860127,13.698887984432023,28.153179917477964,1516.3378106831892,2.0
